Painting Segment 1:
Mv to (0, 0)
Dr fr (71, 80) to (70, 81)
Dr fr (70, 81) to (71, 81)
Dr fr (71, 81) to (72, 80)
Dr fr (72, 80) to (72, 79)
Dr fr (72, 79) to (72, 78)
Dr fr (72, 78) to (72, 77)
Dr fr (72, 77) to (72, 76)
Dr fr (72, 76) to (72, 75)
Dr fr (72, 75) to (72, 74)
Dr fr (72, 74) to (72, 73)
Dr fr (72, 73) to (72, 72)
Dr fr (72, 72) to (72, 71)
Dr fr (72, 71) to (72, 70)
Dr fr (72, 70) to (72, 69)
Dr fr (72, 69) to (72, 68)
Dr fr (72, 68) to (72, 67)
Dr fr (72, 67) to (73, 66)
Dr fr (73, 66) to (73, 67)
Dr fr (73, 67) to (73, 68)
Dr fr (73, 68) to (73, 69)
Dr fr (73, 69) to (73, 70)
Dr fr (73, 70) to (73, 71)
Dr fr (73, 71) to (73, 72)
Dr fr (73, 72) to (73, 73)
Dr fr (73, 73) to (73, 74)
Dr fr (73, 74) to (73, 75)
Dr fr (73, 75) to (73, 76)
Dr fr (73, 76) to (73, 77)
Dr fr (73, 77) to (73, 78)
Dr fr (73, 78) to (73, 79)
Dr fr (73, 79) to (73, 80)
Dr fr (73, 80) to (72, 81)
Dr fr (72, 81) to (73, 81)
Dr fr (73, 81) to (74, 80)
Dr fr (74, 80) to (74, 79)
Dr fr (74, 79) to (74, 78)
Dr fr (74, 78) to (74, 77)
Dr fr (74, 77) to (74, 76)
Dr fr (74, 76) to (74, 75)
Dr fr (74, 75) to (74, 74)
Dr fr (74, 74) to (74, 73)
Dr fr (74, 73) to (74, 72)
Dr fr (74, 72) to (74, 71)
Dr fr (74, 71) to (74, 70)
Dr fr (74, 70) to (74, 69)
Dr fr (74, 69) to (74, 68)
Dr fr (74, 68) to (74, 67)
Dr fr (74, 67) to (74, 66)
Dr fr (74, 66) to (74, 65)
Dr fr (74, 65) to (74, 64)
Dr fr (74, 64) to (75, 63)
Dr fr (75, 63) to (75, 64)
Dr fr (75, 64) to (75, 65)
Dr fr (75, 65) to (75, 66)
Dr fr (75, 66) to (75, 67)
Dr fr (75, 67) to (75, 68)
Dr fr (75, 68) to (75, 69)
Dr fr (75, 69) to (75, 70)
Dr fr (75, 70) to (75, 71)
Dr fr (75, 71) to (75, 72)
Dr fr (75, 72) to (75, 73)
Dr fr (75, 73) to (75, 74)
Dr fr (75, 74) to (75, 75)
Dr fr (75, 75) to (75, 76)
Dr fr (75, 76) to (75, 77)
Dr fr (75, 77) to (75, 78)
Dr fr (75, 78) to (75, 79)
Dr fr (75, 79) to (75, 80)
Dr fr (75, 80) to (74, 81)
Dr fr (74, 81) to (75, 81)
Dr fr (75, 81) to (76, 80)
Dr fr (76, 80) to (76, 79)
Dr fr (76, 79) to (76, 78)
Dr fr (76, 78) to (76, 77)
Dr fr (76, 77) to (76, 76)
Dr fr (76, 76) to (76, 75)
Dr fr (76, 75) to (76, 74)
Dr fr (76, 74) to (76, 73)
Dr fr (76, 73) to (76, 72)
Dr fr (76, 72) to (76, 71)
Dr fr (76, 71) to (76, 70)
Dr fr (76, 70) to (76, 69)
Dr fr (76, 69) to (76, 68)
Dr fr (76, 68) to (76, 67)
Dr fr (76, 67) to (76, 66)
Dr fr (76, 66) to (76, 65)
Dr fr (76, 65) to (76, 64)
Dr fr (76, 64) to (76, 63)
Dr fr (76, 63) to (76, 62)
Dr fr (76, 62) to (76, 61)
Dr fr (76, 61) to (77, 60)
Dr fr (77, 60) to (77, 59)
Dr fr (77, 59) to (78, 58)
Dr fr (78, 58) to (78, 57)
Dr fr (78, 57) to (79, 56)
Dr fr (79, 56) to (79, 55)
Dr fr (79, 55) to (79, 54)
Dr fr (79, 54) to (80, 53)
Dr fr (80, 53) to (80, 52)
Dr fr (80, 52) to (80, 51)
Dr fr (80, 51) to (80, 50)
Dr fr (80, 50) to (81, 49)
Dr fr (81, 49) to (81, 48)
Dr fr (81, 48) to (81, 47)
Dr fr (81, 47) to (81, 46)
Dr fr (81, 46) to (81, 45)
Dr fr (81, 45) to (81, 44)
Dr fr (81, 44) to (81, 43)
Dr fr (81, 43) to (81, 42)
Mv to (81, 49)
Dr fr (81, 49) to (81, 50)
Dr fr (81, 50) to (81, 51)
Dr fr (81, 51) to (81, 52)
Dr fr (81, 52) to (81, 53)
Dr fr (81, 53) to (80, 54)
Dr fr (80, 54) to (80, 55)
Dr fr (80, 55) to (80, 56)
Dr fr (80, 56) to (79, 57)
Dr fr (79, 57) to (79, 58)
Dr fr (79, 58) to (78, 59)
Dr fr (78, 59) to (78, 60)
Dr fr (78, 60) to (77, 61)
Dr fr (77, 61) to (77, 62)
Dr fr (77, 62) to (77, 63)
Dr fr (77, 63) to (77, 64)
Dr fr (77, 64) to (77, 65)
Dr fr (77, 65) to (77, 66)
Dr fr (77, 66) to (77, 67)
Dr fr (77, 67) to (77, 68)
Dr fr (77, 68) to (77, 69)
Dr fr (77, 69) to (77, 70)
Dr fr (77, 70) to (77, 71)
Dr fr (77, 71) to (77, 72)
Dr fr (77, 72) to (77, 73)
Dr fr (77, 73) to (77, 74)
Dr fr (77, 74) to (77, 75)
Dr fr (77, 75) to (77, 76)
Dr fr (77, 76) to (77, 77)
Dr fr (77, 77) to (77, 78)
Dr fr (77, 78) to (77, 79)
Dr fr (77, 79) to (77, 80)
Dr fr (77, 80) to (76, 81)
Dr fr (76, 81) to (77, 81)
Dr fr (77, 81) to (78, 80)
Dr fr (78, 80) to (78, 79)
Dr fr (78, 79) to (78, 78)
Dr fr (78, 78) to (78, 77)
Dr fr (78, 77) to (78, 76)
Dr fr (78, 76) to (78, 75)
Dr fr (78, 75) to (78, 74)
Dr fr (78, 74) to (78, 73)
Dr fr (78, 73) to (78, 72)
Dr fr (78, 72) to (78, 71)
Dr fr (78, 71) to (78, 70)
Dr fr (78, 70) to (78, 69)
Dr fr (78, 69) to (78, 68)
Dr fr (78, 68) to (78, 67)
Dr fr (78, 67) to (78, 66)
Dr fr (78, 66) to (78, 65)
Dr fr (78, 65) to (78, 64)
Dr fr (78, 64) to (78, 63)
Dr fr (78, 63) to (78, 62)
Dr fr (78, 62) to (78, 61)
Dr fr (78, 61) to (79, 60)
Dr fr (79, 60) to (79, 59)
Dr fr (79, 59) to (80, 58)
Dr fr (80, 58) to (80, 57)
Dr fr (80, 57) to (81, 56)
Dr fr (81, 56) to (81, 55)
Dr fr (81, 55) to (81, 54)
Mv to (81, 56)
Dr fr (81, 56) to (81, 57)
Dr fr (81, 57) to (81, 58)
Dr fr (81, 58) to (80, 59)
Dr fr (80, 59) to (80, 60)
Dr fr (80, 60) to (79, 61)
Dr fr (79, 61) to (79, 62)
Dr fr (79, 62) to (79, 63)
Dr fr (79, 63) to (79, 64)
Dr fr (79, 64) to (79, 65)
Dr fr (79, 65) to (79, 66)
Dr fr (79, 66) to (79, 67)
Dr fr (79, 67) to (79, 68)
Dr fr (79, 68) to (79, 69)
Dr fr (79, 69) to (79, 70)
Dr fr (79, 70) to (79, 71)
Dr fr (79, 71) to (79, 72)
Dr fr (79, 72) to (79, 73)
Dr fr (79, 73) to (79, 74)
Dr fr (79, 74) to (79, 75)
Dr fr (79, 75) to (79, 76)
Dr fr (79, 76) to (79, 77)
Dr fr (79, 77) to (79, 78)
Dr fr (79, 78) to (79, 79)
Dr fr (79, 79) to (79, 80)
Dr fr (79, 80) to (78, 81)
Dr fr (78, 81) to (79, 81)
Dr fr (79, 81) to (80, 80)
Dr fr (80, 80) to (80, 79)
Dr fr (80, 79) to (80, 78)
Dr fr (80, 78) to (80, 77)
Dr fr (80, 77) to (80, 76)
Dr fr (80, 76) to (80, 75)
Dr fr (80, 75) to (80, 74)
Dr fr (80, 74) to (80, 73)
Dr fr (80, 73) to (80, 72)
Dr fr (80, 72) to (80, 71)
Dr fr (80, 71) to (80, 70)
Dr fr (80, 70) to (80, 69)
Dr fr (80, 69) to (80, 68)
Dr fr (80, 68) to (80, 67)
Dr fr (80, 67) to (80, 66)
Dr fr (80, 66) to (80, 65)
Dr fr (80, 65) to (80, 64)
Dr fr (80, 64) to (80, 63)
Dr fr (80, 63) to (80, 62)
Dr fr (80, 62) to (80, 61)
Dr fr (80, 61) to (81, 60)
Dr fr (81, 60) to (81, 59)
Mv to (81, 60)
Dr fr (81, 60) to (81, 61)
Dr fr (81, 61) to (81, 62)
Dr fr (81, 62) to (81, 63)
Dr fr (81, 63) to (81, 64)
Dr fr (81, 64) to (81, 65)
Dr fr (81, 65) to (81, 66)
Dr fr (81, 66) to (81, 67)
Dr fr (81, 67) to (81, 68)
Dr fr (81, 68) to (81, 69)
Dr fr (81, 69) to (81, 70)
Dr fr (81, 70) to (81, 71)
Dr fr (81, 71) to (81, 72)
Dr fr (81, 72) to (81, 73)
Dr fr (81, 73) to (81, 74)
Dr fr (81, 74) to (81, 75)
Dr fr (81, 75) to (81, 76)
Dr fr (81, 76) to (81, 77)
Dr fr (81, 77) to (81, 78)
Dr fr (81, 78) to (81, 79)
Dr fr (81, 79) to (81, 80)
Dr fr (81, 80) to (80, 81)
Dr fr (80, 81) to (81, 81)
